respondent_id,month,region,segment,prefecture,age,gender,household_size,has_children,youngest_child_age,relationship_status,income_bracket,awareness,familiarity,opinion,consideration,likelihood,intent,nps,func_convenience,func_value,func_quality,func_variety,func_reliability,emot_excitement,emot_relaxation,emot_connection,emot_authenticity,emot_memorable
M01_0001,M01,Local,Young Families,Chiba,35,Male,4,TRUE,4,Partnered,5-7M,4,4,4,4,3,3,5,5,5,4,5,3,4,3,2,4,7
M01_0002,M01,Local,Young Families,Hokkaido,40,Male,3,TRUE,5,Partnered,5-7M,6,4,4,3,3,3,5,3,4,4,5,3,4,5,4,3,5
M01_0003,M01,Local,Young Families,Aichi,25,Female,5,TRUE,0,Married,3-5M,6,5,5,4,4,3,6,4,4,4,5,4,5,5,4,5,4
M01_0004,M01,Local,Young Families,Fukuoka,28,Female,3,TRUE,2,Married,Over 10M,6,4,3,3,2,2,3,3,2,6,3,5,5,4,4,3,5
M01_0005,M01,Local,Young Families,Saitama,37,Male,3,TRUE,5,Married,5-7M,5,4,3,3,2,2,4,3,3,1,3,4,5,4,5,4,6
M01_0006,M01,Local,Young Families,Aichi,45,Female,4,TRUE,3,Partnered,5-7M,7,5,4,4,3,2,3,3,4,4,4,4,1,5,3,5,4
M01_0007,M01,Local,Young Families,Chiba,27,Male,4,TRUE,0,Partnered,Under 3M,5,4,3,3,3,2,4,3,5,4,1,3,6,3,4,2,3
M01_0008,M01,Local,Young Families,Hokkaido,37,Female,5,TRUE,0,Married,7-10M,7,5,5,4,4,3,5,5,6,4,3,6,5,4,7,5,6
M01_0009,M01,Local,Young Families,Osaka,31,Male,3,TRUE,3,Married,5-7M,5,4,4,3,2,2,3,4,5,2,5,5,3,2,2,1,6
M01_0010,M01,Local,Young Families,Osaka,36,Female,5,TRUE,3,Married,Under 3M,7,5,4,4,3,3,4,4,3,4,4,3,3,6,3,4,3
M01_0011,M01,Local,Young Families,Osaka,38,Male,4,TRUE,3,Partnered,Over 10M,7,5,5,4,3,3,6,7,6,4,4,5,5,5,4,6,5
M01_0012,M01,Local,Young Families,Osaka,31,Male,4,TRUE,0,Married,5-7M,3,2,2,1,1,1,3,4,5,5,4,4,4,4,4,4,4
M01_0013,M01,Local,Young Families,Aichi,29,Female,4,TRUE,2,Partnered,3-5M,5,4,4,3,2,2,4,4,4,5,3,5,5,2,4,5,5
M01_0014,M01,Local,Young Families,Aichi,36,Female,3,TRUE,5,Married,7-10M,5,4,4,4,3,3,5,5,1,5,5,4,4,4,4,3,5
M01_0015,M01,Local,Young Families,Saitama,33,Male,3,TRUE,5,Married,5-7M,6,5,5,4,3,3,6,4,3,3,3,3,4,4,6,5,4
M01_0016,M01,Local,Young Families,Kanagawa,42,Female,5,TRUE,0,Married,5-7M,5,4,4,3,2,1,3,6,4,4,3,5,7,2,4,5,5
M01_0017,M01,Local,Young Families,Tokyo,38,Male,3,TRUE,1,Partnered,5-7M,2,3,3,3,3,2,4,3,5,4,2,3,1,5,4,2,2
M01_0018,M01,Local,Young Families,Hokkaido,44,Male,3,TRUE,5,Married,Under 3M,2,1,1,1,1,1,2,3,2,3,3,4,4,5,4,4,2
M01_0019,M01,Local,Young Families,Aichi,29,Female,4,TRUE,4,Married,7-10M,7,5,4,4,4,3,5,3,7,3,4,6,5,3,5,2,5
M01_0020,M01,Local,Young Families,Tokyo,35,Male,3,TRUE,5,Married,3-5M,5,4,4,3,3,3,5,5,1,6,6,2,5,4,5,3,4
M01_0021,M01,Local,Young Families,Kanagawa,25,Male,3,TRUE,0,Partnered,Under 3M,3,2,2,2,1,1,2,5,3,3,3,5,4,5,4,6,3
M01_0022,M01,Local,Young Families,Tokyo,26,Female,3,TRUE,2,Married,3-5M,5,4,4,3,3,3,5,4,4,2,6,6,4,2,3,5,2
M01_0023,M01,Local,Young Families,Saitama,45,Male,3,TRUE,3,Married,3-5M,7,5,4,4,3,3,5,5,3,4,6,3,5,5,4,4,4
M01_0024,M01,Local,Young Families,Kanagawa,39,Male,4,TRUE,3,Married,Under 3M,7,5,5,5,4,5,7,5,4,5,4,4,1,4,3,5,5
M01_0025,M01,Local,Young Families,Fukuoka,45,Male,3,TRUE,2,Partnered,Over 10M,5,4,4,3,3,3,5,6,5,5,4,3,3,4,4,4,4
M01_0026,M01,Local,Young Families,Hokkaido,44,Female,5,TRUE,3,Married,5-7M,5,4,4,4,3,2,4,5,3,3,3,3,4,3,4,5,4
M01_0027,M01,Local,Young Families,Chiba,39,Male,4,TRUE,2,Partnered,Under 3M,3,2,2,2,2,2,3,2,1,3,4,4,4,5,3,3,4
M01_0028,M01,Local,Young Families,Saitama,35,Female,4,TRUE,4,Married,7-10M,6,4,4,3,3,3,5,3,4,2,3,3,5,3,3,1,4
M01_0029,M01,Local,Young Families,Chiba,31,Female,3,TRUE,4,Married,3-5M,4,3,3,3,3,2,3,3,4,5,2,4,5,5,4,4,4
M01_0030,M01,Local,Young Families,Chiba,29,Male,3,TRUE,0,Partnered,3-5M,6,5,4,4,4,3,5,4,4,4,4,4,2,6,3,3,4
M01_0031,M01,Local,Young Families,Kanagawa,27,Female,3,TRUE,5,Partnered,3-5M,6,5,5,4,3,2,5,4,5,5,4,4,4,2,4,4,4
M01_0032,M01,Local,Young Families,Hokkaido,40,Male,3,TRUE,1,Married,Over 10M,6,5,4,3,3,2,4,5,4,5,4,4,5,3,5,4,4
M01_0033,M01,Local,Young Families,Kanagawa,36,Male,5,TRUE,0,Married,7-10M,4,4,3,3,2,2,4,3,5,3,4,6,5,4,4,5,5
M01_0034,M01,Local,Young Families,Aichi,40,Female,4,TRUE,2,Married,Over 10M,6,5,4,4,3,3,6,4,2,4,3,4,4,3,5,4,5
M01_0035,M01,Local,Young Families,Tokyo,36,Male,4,TRUE,4,Married,5-7M,3,2,2,2,2,2,2,4,2,1,3,3,5,3,4,4,6
M01_0036,M01,Local,Young Families,Tokyo,44,Female,3,TRUE,2,Married,5-7M,4,3,3,2,1,1,2,4,4,4,6,5,3,3,4,4,3
M01_0037,M01,Local,Young Families,Saitama,38,Female,3,TRUE,2,Married,7-10M,4,4,3,3,3,2,4,3,3,5,4,4,4,3,5,4,3
M01_0038,M01,Local,Young Families,Osaka,43,Male,4,TRUE,0,Partnered,3-5M,2,2,2,2,1,2,2,5,5,2,2,4,4,4,5,4,4
M01_0039,M01,Local,Young Families,Chiba,44,Male,3,TRUE,1,Partnered,Over 10M,5,4,3,3,3,2,3,4,3,1,3,5,3,3,2,3,6
M01_0040,M01,Local,Young Families,Tokyo,42,Male,4,TRUE,1,Married,Over 10M,5,4,3,3,3,3,5,3,5,2,2,2,5,4,5,2,5
