respondent_id,wave,month,segment_code,audience,gender,age,prefecture_code,geography,marital_status,living_alone,living_with_spouse,living_with_significant_other,living_with_children,living_with_parents,living_with_siblings,living_with_friend,living_with_other,has_children_separate,boys_under_17_in_hh,boys_in_hh,girls_under_17_in_hh,girls_in_hh,has_grandchildren,recent_visit_tdl,been_to_tdl_past_3yr,recent_visit_tds,been_to_tds_past_3yr,recent_visit_usj,visit_count_tdl,visit_count_tds,visit_count_usj,decision_maker,non_park_rejector,aided_awareness_tdl,aided_awareness_tds,aided_awareness_usj,familiarity_tdl,familiarity_tds,familiarity_usj,opinion_tdl,opinion_tds,opinion_usj,consideration_tdl,consideration_tds,consideration_usj,likelihood_visit_tdl,likelihood_visit_tds,likelihood_visit_usj,when_visit_tdl,intent_visit_tdl_code,intent_visit_tdl,when_visit_tds,intent_visit_tds_code,intent_visit_tds_or_tdl,intent_visit_tds,nps_tdl,nps_tds,nps_usj,funderful_disney_member,disney_plus_subscriber,disney_card_club_member,disney_store_card_member,disney_vacation_club_member,no_disney_fandom,disney_fandom,annual_personal_income,annual_household_income,tdl_func_relaxing,tdl_func_enjoy_myself,tdl_func_lifelong_memories,tdl_func_bond_family_friends,tdl_func_great_for_kids_under_6,tdl_func_great_for_kids_7_17,tdl_func_great_for_adults,tdl_func_want_children_experience,tdl_func_expand_child_worldview,tdl_func_great_for_all_family,tdl_func_understands_what_i_like,tdl_func_feel_comfortable,tdl_func_keeping_up_with_times,tdl_func_variety_of_things,tdl_func_unique_experiences,tdl_func_repeat_experience,tdl_func_active_adventurous,tdl_func_thrilling,tdl_func_new_innovative,tdl_func_something_new,tdl_func_not_crowded,tdl_func_character_interaction,tdl_func_worth_short_vacation,tdl_func_worth_price,tdl_func_affordable,tdl_func_ticket_options,tdl_emot_land_of_dreams,tdl_emot_removed_from_reality,tdl_emot_fantastical,tdl_emot_heartwarming,tdl_emot_soothing_healing,tdl_emot_feeling_safe,tdl_emot_longing_aspiring,tdl_emot_sparkling,tdl_emot_premium_feeling,tdl_emot_feel_good,bipolar_fun,bipolar_feeling_special,bipolar_anticipation,bipolar_excitement,bipolar_playful_mind,bipolar_relaxed_content,bipolar_only_one,bipolar_oshi,bipolar_return_childhood,bipolar_trending,bipolar_realism,bipolar_innovative,bipolar_unpredictability,bipolar_refreshing_look,bipolar_edgy,bipolar_feel_refreshed,bipolar_heart_throbbing,bipolar_be_merry,bipolar_suspenseful
1,1,February,1,A. Young Families,1,29,13,Local,2,0,1,0,1,0,0,0,0,2,1,Yes,1,Yes,0,1,Yes,1,Yes,2,5,5,2,1,9,1,1,1,5,5,4,5,5,5,5,5,4,5,5,5,1,1,Yes,2,1,1,Yes,9,9,8,1,1,1,0,0,0,Yes,1,6,2,4,4,4,4,5,4,4,5,4,4,4,4,4,4,5,5,4,5,4,2,4,4,4,2,4,4,4,4,4,5,3,4,4,5,4,3,4,3,3,4,2,3,3,2,4,3,3,3,4,5,3,4,3,3
2,1,February,1,A. Young Families,1,40,12,Local,2,0,1,0,1,0,0,0,0,2,1,Yes,1,Yes,0,4,Yes,8,No,9,1,0,0,2,7,1,1,1,4,4,1,4,4,4,5,5,3,4,4,4,7,7,No,7,7,7,No,10,10,7,0,0,0,0,0,1,No,2,7,2,4,3,4,4,4,4,4,4,4,4,5,4,3,3,5,3,3,3,3,1,4,2,3,1,1,5,5,4,4,4,5,5,4,5,4,4,7,4,5,5,4,4,5,4,7,4,4,5,7,6,6,4,4,6
3,1,February,1,A. Young Families,1,35,12,Local,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,0,8,No,8,No,8,0,0,0,2,8,1,1,1,3,3,4,3,3,5,5,5,5,3,3,5,8,8,No,8,8,8,No,6,6,10,0,0,0,0,0,1,No,2,11,2,3,4,3,4,4,4,5,4,3,3,2,3,4,4,3,3,3,3,3,1,5,3,3,3,3,5,4,4,4,3,4,3,3,3,4,6,4,6,7,7,4,4,4,3,5,6,6,7,7,7,7,7,7,7
4,1,February,1,A. Young Families,1,37,13,Local,2,0,1,0,1,0,0,0,0,2,1,Yes,1,Yes,0,3,Yes,4,Yes,6,2,1,1,2,6,1,1,1,4,4,4,5,5,5,3,3,3,4,4,4,8,8,No,8,8,8,No,6,6,6,0,0,0,0,0,1,No,2,7,3,3,3,3,3,4,3,3,3,3,3,3,2,4,4,3,3,4,3,3,1,4,4,3,3,3,4,5,4,3,4,4,3,3,3,3,6,4,4,5,6,4,4,2,4,4,6,6,6,4,6,6,4,4,4
5,1,February,1,A. Young Families,1,41,12,Local,2,0,1,0,1,0,0,0,0,1,1,Yes,1,Yes,0,1,Yes,3,Yes,5,4,3,1,2,9,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,6,1,Yes,6,1,1,Yes,8,8,6,0,1,0,0,0,0,Yes,2,10,2,3,2,2,3,3,3,2,3,3,2,3,2,3,3,3,2,2,3,2,1,3,1,2,1,2,4,4,2,3,2,2,3,4,2,3,3,4,3,3,3,3,4,4,3,5,3,3,4,4,3,4,3,4,3
6,1,February,1,A. Young Families,1,53,13,Local,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,0,5,Yes,1,Yes,7,1,2,0,2,9,1,1,1,4,5,3,4,5,4,3,4,4,3,4,4,4,1,Yes,4,1,1,Yes,9,10,10,0,0,0,0,0,1,No,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,3,3,4,4,4,4,4,5,4,5,5,5,4,5
7,1,February,1,A. Young Families,1,36,14,Local,2,0,1,0,1,0,0,0,0,2,0,No,1,Yes,0,8,No,8,No,9,0,0,0,3,4,1,1,0,2,2,0,3,3,0,3,3,0,3,3,0,7,7,No,8,8,7,No,6,6,0,0,0,0,0,0,1,No,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,February,1,A. Young Families,1,31,12,Local,2,0,1,0,1,0,0,0,0,2,0,No,1,Yes,0,5,Yes,8,No,9,1,0,0,2,5,1,1,1,3,3,3,1,1,3,3,4,3,3,4,3,8,8,No,7,7,7,No,1,1,1,0,0,0,0,0,1,No,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,6,4,4,4,4,1,4,4,6,4,7,4,6,5,7,6
9,1,February,1,A. Young Families,1,34,11,Local,2,0,1,0,1,0,0,0,0,2,0,No,1,Yes,0,5,Yes,5,Yes,8,1,1,0,3,6,1,1,1,4,4,2,5,5,5,4,4,2,3,3,3,8,8,No,8,8,8,No,9,9,8,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,3,3,2,5,2,2,6,4,6,4,7,5,6,5,5
10,1,February,1,A. Young Families,1,33,13,Local,2,0,1,0,1,0,0,0,0,2,1,Yes,1,Yes,0,6,Yes,8,No,4,1,0,2,2,7,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,8,8,No,8,8,8,No,9,9,8,0,1,0,0,0,0,Yes,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,3,4,4,4,4,4,5,4,4,4,4,4,4,5
