cluster_id,cluster_name,attribute,original_category,mean_score,correlation_likelihood,correlation_pvalue
1,Magic & Enchantment,Variety Of Things,Functional,3.994550408719346,0.4851431109135794,4.493981134316577e-66
1,Magic & Enchantment,Unique Experiences,Functional,4.108991825613079,0.4516953469027175,1.853965028296965e-56
1,Magic & Enchantment,Character Interaction,Functional,3.977293369663942,0.4288150629839356,1.8008762105882443e-50
1,Magic & Enchantment,Land Of Dreams,Emotional,4.3060853769300635,0.40119190580370745,7.869918170908689e-44
1,Magic & Enchantment,Removed From Reality,Emotional,4.326067211625794,0.3892989135440219,3.698110431480217e-41
1,Magic & Enchantment,Fantastical,Emotional,4.056312443233424,0.4359910840648407,2.6713038492954225e-52
1,Magic & Enchantment,Heartwarming,Emotional,3.9400544959128063,0.5182750131852626,1.037360908641523e-76
1,Magic & Enchantment,Soothing Healing,Emotional,3.845594913714805,0.5161972390452435,5.22347680967008e-76
1,Magic & Enchantment,Feeling Safe,Emotional,3.862851952770209,0.482727344414515,2.4177490387420414e-65
1,Magic & Enchantment,Longing Aspiring,Emotional,3.8782924613987286,0.538157152729852,1.11156747052048e-83
1,Magic & Enchantment,Sparkling,Emotional,4.136239782016348,0.43670480505924514,1.7475095105069966e-52
1,Magic & Enchantment,Premium Feeling,Emotional,3.8819255222524975,0.5072044822467777,5.023630438330951e-73
1,Magic & Enchantment,Feel Good,Emotional,4.040871934604905,0.5511067278996589,1.7759983002642328e-88
2,Affordability,Affordable,Functional,2.309718437783833,0.22157401395723636,1.0347501401068617e-13
3,Family & Kids Appeal,Enjoy Myself,Functional,3.8919164396003634,0.6117693733800074,5.150885887565785e-114
3,Family & Kids Appeal,Lifelong Memories,Functional,4.022706630336058,0.4850019589173115,4.96011208790605e-66
3,Family & Kids Appeal,Bond Family Friends,Functional,3.8955495004541327,0.508214656884929,2.3461529941810726e-73
3,Family & Kids Appeal,Great For Kids Under 6,Functional,3.8501362397820165,0.38237604840483136,1.1846347742503105e-39
3,Family & Kids Appeal,Great For Kids 7 17,Functional,4.058128973660309,0.3825306105114585,1.0973956584715084e-39
3,Family & Kids Appeal,Great For Adults,Functional,3.989100817438692,0.5269318333280156,1.091570686771667e-79
3,Family & Kids Appeal,Want Children Experience,Functional,4.000908265213442,0.4442418705820238,1.857958240963811e-54
3,Family & Kids Appeal,Expand Child Worldview,Functional,3.9990917347865578,0.427185822726078,4.619379206801694e-50
3,Family & Kids Appeal,Great For All Family,Functional,3.9818346957311537,0.49866500965849186,2.8337074139177048e-70
4,Experience & Innovation,Relaxing,Functional,3.4187102633969118,0.4601067817481322,8.903291464848393e-59
4,Experience & Innovation,Understands What I Like,Functional,3.619436875567666,0.6043940803387143,1.2991534783711108e-110
4,Experience & Innovation,Feel Comfortable,Functional,3.6993642143505903,0.4965091153280377,1.3637058383347758e-69
4,Experience & Innovation,Keeping Up With Times,Functional,3.76566757493188,0.4277226761451734,3.388659946899941e-50
4,Experience & Innovation,Repeat Experience,Functional,3.8728428701180744,0.6301010723530222,7.159280054293867e-123
4,Experience & Innovation,Active Adventurous,Functional,3.854677565849228,0.4542895029385786,3.630335062265631e-57
4,Experience & Innovation,Thrilling,Functional,3.5349682107175293,0.3604355755420495,4.086805213933519e-35
4,Experience & Innovation,New Innovative,Functional,3.835603996366939,0.4845465165217681,6.817860674691169e-66
4,Experience & Innovation,Something New,Functional,3.861035422343324,0.4463912980440803,4.9785284732117806e-55
4,Experience & Innovation,Worth Short Vacation,Functional,3.6911898274296093,0.41374330109799484,9.028196851420813e-47
4,Experience & Innovation,Worth Price,Functional,3.5131698455949136,0.49833556528613854,3.605323184612916e-70
4,Experience & Innovation,Ticket Options,Functional,3.449591280653951,0.3562377097332212,2.7551234412855154e-34
5,Crowd Management,Not Crowded,Functional,2.1153496821071753,0.11752432909358929,9.27805353088808e-05
