,Factor_1,Factor_2,Factor_3,Factor_4,primary_factor,primary_factor_name
Relaxing,-0.37345089391924147,-0.5522591594704894,0.20742267255706698,-0.28738310737829365,Factor_2,Personal Comfort
Enjoy Myself,-0.5555184825812707,-0.2518524150516981,0.3270247186637437,-0.42688133817434554,Factor_1,Disney Magic
Lifelong Memories,-0.5133978786444636,-0.11795681363215366,0.3577532165200174,-0.5462129149106343,Factor_4,Family Appeal
Bond Family Friends,-0.42864048128802584,-0.21082046748082986,0.3312530577770075,-0.5834705371324009,Factor_4,Family Appeal
Great For Kids Under 6,-0.3037720698297096,-0.16095196132115736,0.18856623423091204,-0.6011073786733846,Factor_4,Family Appeal
Great For Kids 7 17,-0.33582475220727037,-0.0038486304523106824,0.24329468884828184,-0.6786585811911846,Factor_4,Family Appeal
Great For Adults,-0.5297155532572214,-0.127788525758034,0.3761794769033623,-0.49467304311349647,Factor_1,Disney Magic
Want Children Experience,-0.3481867700880815,-0.05347585818813762,0.22655040780447003,-0.7573645442761064,Factor_4,Family Appeal
Expand Child Worldview,-0.3618197104153223,-0.08995607432730426,0.28797823041408455,-0.7035127590794715,Factor_4,Family Appeal
Great For All Family,-0.4278600395176553,-0.1672684160385011,0.33943743297364193,-0.6231568719919636,Factor_4,Family Appeal
Understands What I Like,-0.4601750337672405,-0.41490203682707605,0.47788548449136764,-0.28941246197325937,Factor_3,Innovation & Thrills
Feel Comfortable,-0.43014975163282737,-0.3680859241264348,0.45954328983654497,-0.2785314370545595,Factor_3,Innovation & Thrills
Keeping Up With Times,-0.31788759706513986,-0.27709782274602646,0.5957886654857877,-0.3004359373951139,Factor_3,Innovation & Thrills
Variety Of Things,-0.4216898353241678,-0.01878223348419195,0.5662690756825834,-0.44206844521170846,Factor_3,Innovation & Thrills
Unique Experiences,-0.46244805106223213,0.034865255960994,0.5292554945797268,-0.43719849412676565,Factor_3,Innovation & Thrills
Repeat Experience,-0.5392907465845065,-0.26381716641823766,0.44907655084569503,-0.34042799979114724,Factor_1,Disney Magic
Active Adventurous,-0.33194635865643146,-0.141973387282375,0.6837024021894508,-0.30703523513985265,Factor_3,Innovation & Thrills
Thrilling,-0.2884175646775237,-0.26774549556624677,0.5665309659519651,-0.16096477071618273,Factor_3,Innovation & Thrills
New Innovative,-0.36622308141342425,-0.2084884882493617,0.669123968682623,-0.3140827865736948,Factor_3,Innovation & Thrills
Something New,-0.39326784186124814,-0.14301073843288387,0.6481679047045403,-0.3094706331951467,Factor_3,Innovation & Thrills
Not Crowded,0.03465746945548068,-0.6167970021027669,0.07983366706112023,0.09634787852973105,Factor_2,Personal Comfort
Character Interaction,-0.5054805859352366,-0.061118023497660094,0.3319632331972412,-0.36489317737380367,Factor_1,Disney Magic
Worth Short Vacation,-0.369825784340758,-0.2820734919456248,0.32513550353500265,-0.29212259241388944,Factor_1,Disney Magic
Worth Price,-0.41875658409637,-0.44745916775672073,0.293605624089618,-0.2832067907920789,Factor_2,Personal Comfort
Affordable,0.004723689488609934,-0.6851544125677229,0.15269810928622077,0.007859292782858813,Factor_2,Personal Comfort
Ticket Options,-0.27741337299966273,-0.3619044895343702,0.3691169811621537,-0.18779408348461224,Factor_3,Innovation & Thrills
Land Of Dreams,-0.5946986792890347,0.1109466469996581,0.291936694458489,-0.397654274666524,Factor_1,Disney Magic
Removed From Reality,-0.6131779409731886,0.15959658768449925,0.2868297860520357,-0.4022315312692475,Factor_1,Disney Magic
Fantastical,-0.6222900074882846,0.001440518339374831,0.3696060138350038,-0.32464480179348265,Factor_1,Disney Magic
Heartwarming,-0.6988760832428941,-0.22159908458105945,0.25184691176095514,-0.3623740831814242,Factor_1,Disney Magic
Soothing Healing,-0.6610257127199144,-0.2911196263450783,0.22676334291519135,-0.31677619579557575,Factor_1,Disney Magic
Feeling Safe,-0.59472724562474,-0.2980129848234839,0.2187086819680937,-0.37161630589602346,Factor_1,Disney Magic
Longing Aspiring,-0.6891805662545037,-0.19547769594441625,0.32760849481270826,-0.27340425904653615,Factor_1,Disney Magic
Sparkling,-0.6870889353835294,0.06446476869971737,0.3128962622947539,-0.3558666414414997,Factor_1,Disney Magic
Premium Feeling,-0.693069431521888,-0.17139018636924547,0.33204890772387785,-0.29425892959006367,Factor_1,Disney Magic
Feel Good,-0.7191047163863717,-0.16407923006395417,0.3227040742536154,-0.35412858785228996,Factor_1,Disney Magic
